,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,3,36,0,0,26,0,0,9,0,0,0,0,2,0,1,0
1,0,1,3,37,0,1,11,0,0,7,4,0,0,0,3,0,2,0
2,0,2,3,24,1,6,4,0,0,1,17,0,0,1,2,2,2,0
3,0,3,5,9,0,7,2,1,0,0,17,1,0,2,2,6,7,0
4,0,4,5,1,2,11,0,0,0,0,6,9,0,11,1,19,11,0
5,0,5,5,0,3,3,0,1,1,2,1,16,0,11,0,16,11,0
6,0,6,5,0,9,1,0,0,1,4,0,23,0,21,0,7,5,0
7,0,7,6,0,4,1,0,0,2,23,1,7,0,7,0,0,0,9
8,0,8,5,3,3,0,8,0,3,28,4,0,0,2,1,0,2,14
9,0,9,3,11,0,0,27,0,4,18,6,0,0,0,2,0,1,16
10,1,0,3,25,0,0,33,1,0,4,0,0,0,0,14,0,4,0
11,1,1,3,49,0,1,43,0,0,3,4,0,1,0,4,0,6,1
12,1,2,5,38,0,2,14,2,0,0,5,0,0,1,10,0,11,0
13,1,3,5,9,3,6,1,3,0,0,2,0,0,3,8,3,19,3
14,1,4,5,3,4,6,0,3,0,0,4,8,0,8,3,6,13,1
15,1,5,5,0,12,6,0,4,1,1,0,19,0,17,2,9,16,1
16,1,6,10,0,10,9,0,1,16,3,0,26,0,18,0,1,9,1
17,1,7,10,0,4,8,1,0,11,19,8,20,0,12,1,0,2,8
18,1,8,10,0,5,1,3,0,10,23,8,3,0,1,4,0,0,15
19,1,9,5,9,0,0,31,0,12,14,11,0,0,0,11,0,1,20
20,2,0,3,16,0,0,31,1,0,0,0,0,2,0,18,0,6,1
21,2,1,3,37,0,0,28,1,0,0,0,0,4,0,15,0,12,3
22,2,2,3,39,1,1,8,3,0,0,0,0,1,0,14,1,16,7
23,2,3,5,16,3,1,2,10,0,0,0,1,0,1,10,1,17,7
24,2,4,5,2,7,10,0,15,1,0,0,5,0,7,5,3,19,3
25,2,5,6,0,12,34,0,4,9,0,0,20,0,5,1,3,12,0
26,2,6,10,0,11,19,1,2,23,1,0,24,0,10,0,1,14,0
27,2,7,10,0,5,13,1,1,35,1,6,24,0,3,3,1,3,3
28,2,8,10,0,2,2,2,0,32,6,17,6,0,0,10,0,2,4
29,2,9,6,5,2,0,18,0,20,5,12,3,1,0,17,0,0,8
30,3,0,3,9,0,0,13,1,0,0,0,0,11,0,16,0,5,1
31,3,1,4,17,0,0,7,4,0,0,0,0,9,0,19,0,6,7
32,3,2,6,21,1,0,2,7,0,0,0,0,2,0,24,2,21,9
33,3,3,6,8,1,2,1,15,1,0,0,0,0,1,8,4,10,10
34,3,4,6,1,3,9,1,12,1,0,0,1,0,5,7,1,15,6
35,3,5,5,0,6,17,0,10,10,0,0,8,0,2,3,0,9,0
36,3,6,7,0,7,27,0,5,20,0,0,29,0,2,0,0,1,0
37,3,7,9,0,6,11,0,0,36,1,2,31,0,1,3,0,1,0
38,3,8,7,0,3,1,1,0,27,1,5,6,0,0,5,0,0,1
39,3,9,5,0,0,0,1,0,22,0,2,2,3,0,23,0,4,0
40,4,0,3,3,0,0,5,0,0,0,0,0,23,0,16,1,4,2
41,4,1,6,6,1,0,1,1,0,0,0,0,15,0,14,4,6,5
42,4,2,8,6,1,3,8,13,0,0,0,0,8,0,9,8,3,6
43,4,3,9,1,5,0,2,12,0,0,0,0,1,0,8,7,6,10
44,4,4,8,1,7,5,1,17,2,0,0,0,0,0,5,3,3,2
45,4,5,6,0,2,10,0,7,5,1,0,4,0,0,3,1,2,0
46,4,6,9,0,0,12,0,1,9,8,0,7,0,0,0,0,1,0
47,4,7,10,0,3,5,0,0,11,12,0,11,0,3,2,0,1,0
48,4,8,9,0,0,0,0,0,18,14,1,2,2,1,6,0,0,1
49,4,9,5,0,0,1,0,0,4,8,1,2,10,1,14,0,0,0
50,5,0,4,0,1,0,0,0,0,0,0,0,25,0,13,0,2,0
51,5,1,6,0,8,1,3,4,0,0,0,0,14,0,3,9,4,0
52,5,2,9,1,21,4,7,6,0,0,0,0,8,0,2,18,1,2
53,5,3,10,0,8,10,7,14,0,0,0,0,5,0,2,18,4,3
54,5,4,9,0,6,11,8,5,0,0,0,0,0,0,0,7,2,1
55,5,5,6,0,1,4,0,5,0,1,0,0,0,0,0,0,0,1
56,5,6,5,0,1,4,0,4,3,13,0,2,0,0,1,0,0,1
57,5,7,9,0,0,11,0,0,6,30,0,1,0,2,0,1,0,0
58,5,8,5,0,1,9,0,0,0,13,0,1,0,6,13,1,0,0
59,5,9,3,0,0,3,0,0,3,8,0,0,11,6,14,1,0,0
60,6,0,3,0,0,0,1,0,0,0,0,0,12,0,13,1,0,0
61,6,1,6,0,6,0,5,0,0,0,0,0,11,0,4,6,1,1
62,6,2,8,0,12,4,10,0,0,0,0,0,8,0,2,11,0,3
63,6,3,9,0,7,17,13,2,0,0,0,0,5,0,0,12,0,1
64,6,4,8,0,3,17,4,6,0,0,0,0,0,0,0,4,0,0
65,6,5,6,0,0,6,2,9,1,4,0,1,0,0,0,0,0,0
66,6,6,5,0,0,11,0,9,0,15,0,0,1,0,0,0,0,0
67,6,7,3,0,0,30,0,2,0,26,0,0,2,6,0,3,0,0
68,6,8,3,0,0,24,0,0,1,19,0,0,2,11,5,7,1,0
69,6,9,3,0,0,11,0,0,0,10,0,0,4,13,14,12,2,0
