,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,7,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
1,0,1,9,0,1,0,0,0,17,0,0,0,0,0,0,0,1,0
2,0,2,10,0,1,12,0,0,19,0,0,0,0,0,0,0,0,1
3,0,3,9,0,0,9,0,0,5,0,1,2,0,0,0,2,2,4
4,0,4,7,0,0,14,0,0,1,0,10,3,0,2,0,7,0,12
5,0,5,5,0,0,5,0,0,0,0,15,1,0,0,2,14,0,6
6,0,6,3,0,0,1,1,0,0,0,34,2,0,1,2,8,0,7
7,0,7,3,0,0,0,5,0,0,0,23,2,0,1,1,4,0,3
8,0,8,3,0,2,0,13,10,0,0,6,1,1,0,0,0,0,1
9,0,9,3,0,3,0,11,8,2,0,2,2,0,0,0,0,0,0
10,1,0,7,0,15,1,0,0,2,0,0,0,0,0,0,0,0,0
11,1,1,9,0,8,6,0,0,13,0,0,2,0,0,1,0,2,0
12,1,2,10,0,1,20,0,0,1,0,0,4,0,0,0,0,12,1
13,1,3,9,0,0,22,0,0,5,0,0,3,0,3,2,2,14,1
14,1,4,7,0,0,17,0,0,0,0,4,5,0,4,3,10,5,8
15,1,5,5,0,0,5,0,0,0,0,12,4,0,6,4,12,0,6
16,1,6,3,0,1,4,2,2,0,0,17,1,0,12,7,6,0,6
17,1,7,3,0,1,0,7,5,0,0,14,6,0,2,5,4,0,1
18,1,8,3,0,3,0,21,9,0,0,21,12,0,1,1,1,0,0
19,1,9,3,0,7,0,18,7,1,0,1,5,0,0,0,0,0,0
20,2,0,5,0,19,1,0,0,1,0,0,3,2,0,3,0,0,0
21,2,1,7,0,6,11,0,0,0,0,0,5,2,0,5,1,6,0
22,2,2,9,0,5,33,0,0,5,0,0,9,3,0,4,1,40,1
23,2,3,7,0,0,39,1,0,2,0,2,16,0,1,1,0,19,0
24,2,4,5,0,0,20,0,0,5,0,0,12,0,9,7,5,6,6
25,2,5,4,0,2,7,1,0,0,0,1,6,0,29,19,3,0,6
26,2,6,3,0,4,0,1,1,2,0,8,7,0,24,18,2,0,5
27,2,7,3,0,3,0,7,10,0,2,11,7,3,7,19,3,0,1
28,2,8,3,0,6,0,13,20,0,0,14,15,2,1,10,1,0,1
29,2,9,3,0,17,0,22,13,0,0,2,24,4,0,7,0,0,0
30,3,0,4,0,16,0,0,0,0,0,0,5,7,0,12,0,0,0
31,3,1,5,1,19,6,0,0,0,0,0,7,4,0,10,4,9,1
32,3,2,5,0,7,26,2,0,1,0,0,12,3,0,4,0,21,0
33,3,3,5,0,2,32,2,0,5,0,0,7,1,2,4,3,17,0
34,3,4,4,0,0,8,3,0,2,0,0,9,0,9,3,2,9,0
35,3,5,3,0,2,1,3,0,5,2,0,5,0,21,24,3,3,2
36,3,6,3,0,12,0,2,2,4,9,2,3,1,25,33,0,0,0
37,3,7,3,0,13,0,6,7,0,8,10,11,10,6,24,1,0,0
38,3,8,5,0,13,0,9,12,0,3,5,18,15,2,30,0,0,0
39,3,9,3,0,19,0,8,8,0,0,3,30,11,0,21,1,0,0
40,4,0,3,1,18,0,0,0,0,0,0,10,10,0,8,3,0,0
41,4,1,3,1,26,5,1,0,0,0,0,8,12,0,9,6,4,0
42,4,2,5,1,14,3,3,0,0,0,0,15,9,0,2,10,11,0
43,4,3,6,2,7,11,3,2,6,0,0,4,3,1,1,14,9,0
44,4,4,5,0,2,1,20,2,8,0,0,6,0,5,1,3,6,0
45,4,5,10,0,8,0,7,2,8,10,0,3,4,7,7,2,2,0
46,4,6,10,0,11,0,4,2,5,17,0,2,10,10,21,0,0,0
47,4,7,10,0,13,0,5,4,1,17,3,3,19,4,25,0,0,0
48,4,8,5,1,9,0,2,2,0,9,3,12,19,3,26,0,0,0
49,4,9,5,0,9,0,0,7,0,0,0,14,15,2,20,0,0,0
50,5,0,3,3,4,0,0,0,0,0,0,10,12,0,6,3,0,0
51,5,1,5,7,11,0,2,0,1,2,0,7,12,0,4,6,0,1
52,5,2,7,11,10,0,4,1,0,0,0,5,6,0,3,23,1,0
53,5,3,8,13,4,0,15,3,5,2,1,0,4,0,0,11,0,0
54,5,4,7,1,3,0,15,12,7,0,0,3,1,1,1,8,0,0
55,5,5,10,1,2,0,20,16,2,5,1,1,2,0,0,4,2,0
56,5,6,10,0,15,0,10,6,2,19,4,0,3,0,7,1,0,1
57,5,7,10,1,16,0,11,5,2,19,4,2,13,1,7,0,0,0
58,5,8,7,0,11,0,1,4,0,6,3,3,22,4,6,0,0,0
59,5,9,5,2,4,0,0,9,0,1,0,15,8,7,3,0,0,0
60,6,0,5,18,0,0,0,1,0,0,0,3,1,0,1,1,0,0
61,6,1,6,26,8,0,2,0,0,1,0,7,7,0,0,2,0,2
62,6,2,8,37,2,0,11,1,1,1,0,1,3,0,1,20,3,1
63,6,3,10,21,0,1,26,10,3,2,0,3,2,0,0,21,1,0
64,6,4,8,4,3,0,24,21,8,3,2,1,1,0,0,5,1,0
65,6,5,10,3,1,0,28,16,7,5,4,1,3,0,0,1,3,1
66,6,6,10,2,5,0,21,10,3,6,5,0,14,1,0,0,1,2
67,6,7,10,4,4,0,5,8,0,5,12,0,9,6,0,0,0,2
68,6,8,8,3,5,0,5,6,0,2,1,2,5,20,1,1,0,1
69,6,9,5,5,2,0,2,9,0,0,0,3,6,8,0,0,0,4
70,7,0,3,18,0,0,0,1,0,0,0,1,1,0,0,0,0,6
71,7,1,5,31,1,0,3,2,3,2,0,0,2,0,0,2,1,3
72,7,2,7,42,0,0,10,5,0,7,0,0,0,0,0,10,1,3
73,7,3,8,18,1,0,12,12,3,5,0,0,1,0,0,8,3,3
74,7,4,7,10,0,1,27,22,2,3,0,0,7,0,0,5,2,3
75,7,5,8,4,0,0,24,29,1,4,10,0,17,0,0,2,5,6
76,7,6,9,1,2,0,18,10,0,4,15,0,18,1,0,0,2,6
77,7,7,8,0,0,0,18,3,0,7,13,0,11,4,0,0,2,5
78,7,8,7,4,1,0,3,8,0,4,4,0,2,10,0,0,1,5
79,7,9,3,10,0,0,3,6,0,4,1,1,4,7,0,1,0,6
80,8,0,3,10,0,0,0,4,7,1,0,0,0,0,0,0,0,12
